,County,Population,StateCode
1,Alameda,1638215,California
2,Alpine,1110,California
3,Amador,37001,California
4,Butte,225411,California
5,Calaveras,44828,California
6,Colusa,21482,California
7,Contra Costa,1126745,California
8,Del Norte,27254,California
9,El Dorado,184452,California
10,Fresno,974861,California
11,Glenn,28017,California
12,Humboldt,135727,California
13,Imperial,180191,California
14,Inyo,18260,California
15,Kern,882176,California
16,Kings,150965,California
17,Lake,64591,California
18,Lassen,31345,California
19,Los Angeles,10170292,California
20,Madera,154998,California
21,Marin,261221,California
22,Mariposa,17531,California
23,Mendocino,87649,California
24,Merced,268455,California
25,Modoc,8965,California
26,Mono,13909,California
27,Monterey,433898,California
28,Napa,142456,California
29,Nevada,98877,California
30,Orange,3169776,California
31,Placer,375391,California
32,Plumas,18409,California
33,Riverside,2361026,California
34,Sacramento,1501335,California
35,San Benito,58792,California
36,San Bernardino,2128133,California
37,San Diego,3299521,California
38,San Francisco,864816,California
39,San Joaquin,726106,California
40,San Luis Obispo,281401,California
41,San Mateo,765135,California
42,Santa Barbara,444769,California
43,Santa Clara,1918044,California
44,Santa Cruz,274146,California
45,Shasta,179533,California
46,Sierra,2967,California
47,Siskiyou,43554,California
48,Solano,436092,California
49,Sonoma,502146,California
50,Stanislaus,538388,California
51,Sutter,96463,California
52,Tehama,63308,California
53,Trinity,13069,California
54,Tulare,459863,California
55,Tuolumne,53709,California
56,Ventura,850536,California
57,Yolo,213016,California
58,Yuba,74492,California
